partition_id,stopped_early,stop_epoch,stop_reason,early_stop_tol,min_epochs,final_avg_normalised_loss,final_avg_actual_loss,n_train,n_test
280,False,100,max_epochs,1e-05,20,0.27135223373155754,0.012832049687930624,13968,3504
281,True,34,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.418305527951223,0.014629879407233886,13968,3504
282,False,100,max_epochs,1e-05,20,0.2288693363235912,0.022830849260445048,13968,3504
283,False,100,max_epochs,1e-05,20,0.27357527467888054,0.02284532529048409,13968,3504
284,False,100,max_epochs,1e-05,20,0.23919582794038444,0.019951948109504857,13968,3504
285,False,100,max_epochs,1e-05,20,0.3038064521529193,0.013032630262182692,13968,3504
286,False,100,max_epochs,1e-05,20,0.27897649215849335,0.011679614662504358,13968,3504
287,False,100,max_epochs,1e-05,20,0.378188807037492,0.02463461143737197,13968,3504
288,False,100,max_epochs,1e-05,20,0.16612765340195038,0.020848053401278373,13968,3504
289,False,100,max_epochs,1e-05,20,0.09439937275034356,0.014431207800206089,13968,3504
290,False,100,max_epochs,1e-05,20,0.36386320251832416,0.022939175436023695,13968,3504
291,False,100,max_epochs,1e-05,20,0.39130416596601253,0.035993465826167775,13968,3504
292,False,100,max_epochs,1e-05,20,0.22879162740896983,0.031753042946858635,13968,3504
293,False,100,max_epochs,1e-05,20,0.32529831982428525,0.035378232118419464,13968,3504
294,False,100,max_epochs,1e-05,20,0.1361228196130142,0.0354762465239251,13968,3504
295,False,100,max_epochs,1e-05,20,0.2574761563447242,0.010300879309731847,13968,3504
296,False,100,max_epochs,1e-05,20,0.2746901632128195,0.028875197984547466,13968,3504
297,False,100,max_epochs,1e-05,20,0.3504817324148332,0.03281558933920999,13968,3504
298,False,100,max_epochs,1e-05,20,0.39361976420483274,0.012797007727728193,13968,3504
299,False,100,max_epochs,1e-05,20,0.26095351533934136,0.011741916403303942,13968,3504
300,False,100,max_epochs,1e-05,20,0.4578791211926648,0.024315751465531867,13968,3504
301,False,100,max_epochs,1e-05,20,0.18360868617331333,0.05387811609250825,13968,3504
302,False,100,max_epochs,1e-05,20,0.3307527581602535,0.029205514927315594,13968,3504
303,True,57,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.3308180949511474,0.01755605386872511,13968,3504
304,False,100,max_epochs,1e-05,20,0.3161575542645532,0.037840138066068896,13968,3504
305,True,100,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.1946329156337281,0.012759518691073808,13968,3504
306,False,100,max_epochs,1e-05,20,0.1629871157645538,0.031541478858806364,13968,3504
307,False,100,max_epochs,1e-05,20,0.17058796679554492,0.003730784417662174,13968,3504
308,False,100,max_epochs,1e-05,20,0.29349309424997105,0.014436663318377318,13968,3504
309,False,100,max_epochs,1e-05,20,0.31431214627390003,0.014764907270378413,13968,3504
310,False,100,max_epochs,1e-05,20,0.21201150575363967,0.016113549290068373,13968,3504
311,False,100,max_epochs,1e-05,20,0.40455896391976665,0.028447035825693308,13968,3504
312,True,52,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.40195335467848703,0.010286861715348112,13968,3504
313,False,100,max_epochs,1e-05,20,0.32827119171233526,0.012048106489460943,13968,3504
314,False,100,max_epochs,1e-05,20,0.3215271448248006,0.019717818834602465,13968,3504
315,False,100,max_epochs,1e-05,20,0.28151568079048145,0.01477883207241339,13968,3504
316,False,100,max_epochs,1e-05,20,0.19186333171565936,0.0234584440829655,13968,3504
317,False,100,max_epochs,1e-05,20,0.1694073709783449,0.024792607683410725,13968,3504
318,False,100,max_epochs,1e-05,20,0.45222205276069083,0.0713054102141729,13968,3504
319,False,100,max_epochs,1e-05,20,0.3689220938444392,0.019890963686990934,13968,3504
