unique_id,level,role,horizon_index,target_col,method,MAE,MASE,RMSSE,approach
GC/2047,2,middle,0,y,base,0.04411797576817354,0.6934370242480453,0.5231077694747217,centralised
GC/2047,2,middle,0,y,bu,0.04411797576817354,0.6934370242480453,0.5231077694747217,centralised
GC/2047,2,middle,0,y,mint_shrinkage,0.04490830277398623,0.7058592171875722,0.5231623654909273,centralised
GC/2047,2,middle,0,y,mint_var,0.04416052250083837,0.6941057648050829,0.5229366773799835,centralised
GC/2047,2,middle,0,y,mint_ols,0.053107730378866715,0.8347360883464546,0.5563224036906526,centralised
GC/2047,2,middle,0,y,wls_structure,0.04465875978330064,0.7019369531700148,0.5227216016445284,centralised
GC/2047,2,middle,0,y,naive,0.05140867579908676,0.8080307073464595,0.6208124011805616,centralised
GC/2048,2,middle,0,y,base,0.12214964628024516,0.9407841685077354,0.913009400857925,centralised
GC/2048,2,middle,0,y,bu,0.11839318320778237,0.911852271479979,0.9007396464158077,centralised
GC/2048,2,middle,0,y,mint_shrinkage,0.1199358299613811,0.9237335800844744,0.8923096898903332,centralised
GC/2048,2,middle,0,y,mint_var,0.1188353783497686,0.9152580135483369,0.8934259651203157,centralised
GC/2048,2,middle,0,y,mint_ols,0.12580556680119648,0.9689416970161893,0.9082531790442078,centralised
GC/2048,2,middle,0,y,wls_structure,0.11947511030598293,0.9201851640954136,0.891283328867179,centralised
GC/2048,2,middle,0,y,naive,0.1455445205479452,1.1209691138229698,1.102535255500969,centralised
GC/2066,2,middle,0,y,base,0.38108344170320163,0.9835453603369732,0.8926320883413632,centralised
GC/2066,2,middle,0,y,bu,0.38897536025775,1.0039137600863608,0.9034110629309298,centralised
GC/2066,2,middle,0,y,mint_shrinkage,0.3789183084299056,0.9779573275010568,0.8788894742270608,centralised
GC/2066,2,middle,0,y,mint_var,0.37876463642742364,0.9775607125644977,0.8809711033062266,centralised
GC/2066,2,middle,0,y,mint_ols,0.37862840871778364,0.977209119928599,0.879283690792225,centralised
GC/2066,2,middle,0,y,wls_structure,0.37849297838988594,0.9768595852701071,0.8801194177440876,centralised
GC/2066,2,middle,0,y,naive,0.4181364155251141,1.079176071360131,1.0315832040634967,centralised
GC/2074,2,middle,0,y,base,0.6443499704989868,1.199137017865379,1.076746549984181,centralised
GC/2074,2,middle,0,y,bu,0.6550372943857411,1.2190261561928,1.103035916331425,centralised
GC/2074,2,middle,0,y,mint_shrinkage,0.6387865795416172,1.18878353241915,1.0685730547045365,centralised
GC/2074,2,middle,0,y,mint_var,0.6342935989480744,1.180422083521906,1.0618917009295572,centralised
GC/2074,2,middle,0,y,mint_ols,0.6389282889237132,1.189047253958112,1.0632607180951827,centralised
GC/2074,2,middle,0,y,wls_structure,0.6340655612698461,1.1799977047930301,1.0612288932875444,centralised
GC/2074,2,middle,0,y,naive,0.6993781392694064,1.3015445870732332,1.204199596079323,centralised
GC/2076,2,middle,0,y,base,0.5245109104315743,0.9969467529813504,0.9258709156229804,centralised
GC/2076,2,middle,0,y,bu,0.5142567038789029,0.977456409265384,0.9134601550878354,centralised
GC/2076,2,middle,0,y,mint_shrinkage,0.5136098980872236,0.976227014564531,0.9060390348459395,centralised
GC/2076,2,middle,0,y,mint_var,0.5106923814038369,0.9706816412912123,0.9037581569107375,centralised
GC/2076,2,middle,0,y,mint_ols,0.5198936939923255,0.9881707316529598,0.9155314820134961,centralised
GC/2076,2,middle,0,y,wls_structure,0.5111984689952936,0.9716435705304188,0.903882829967741,centralised
GC/2076,2,middle,0,y,naive,0.5688501712328767,1.0812231354289152,1.03370488163093,centralised
GC/2077,2,middle,0,y,base,0.2613648311680499,1.0979099751406352,1.026977614427387,centralised
GC/2077,2,middle,0,y,bu,0.250715380662208,1.053175043176462,0.9919890869133052,centralised
GC/2077,2,middle,0,y,mint_shrinkage,0.2515080884799611,1.0565049549193448,0.9850796507396163,centralised
GC/2077,2,middle,0,y,mint_var,0.2518479277194303,1.057932510758782,0.9908303062459698,centralised
GC/2077,2,middle,0,y,mint_ols,0.2586804943055998,1.0866339354196417,1.0084794799494536,centralised
GC/2077,2,middle,0,y,wls_structure,0.25184024045907133,1.0579002190392268,0.987434021627855,centralised
GC/2077,2,middle,0,y,naive,0.28437071917808215,1.1945503449268147,1.1575579140270973,centralised
GC/2079,2,middle,0,y,base,0.2701706330666069,1.1120505260996436,1.1226692484395866,centralised
GC/2079,2,middle,0,y,bu,0.269188210261278,1.1080067712876656,1.1166364064032204,centralised
GC/2079,2,middle,0,y,mint_shrinkage,0.2670159010385079,1.0990653197812132,1.0908182749453244,centralised
GC/2079,2,middle,0,y,mint_var,0.26579769674754994,1.094051063763526,1.0988608990344155,centralised
GC/2079,2,middle,0,y,mint_ols,0.2678270387710265,1.1024040473547767,1.0946365949900765,centralised
GC/2079,2,middle,0,y,wls_structure,0.2657606471313206,1.0938985636758887,1.0952081706637171,centralised
GC/2079,2,middle,0,y,naive,0.2967069063926941,1.221276596964733,1.229340467105646,centralised
GC/2081,2,middle,0,y,base,0.12858625836377902,1.048742547015901,0.973736003588492,centralised
GC/2081,2,middle,0,y,bu,0.12858625836377902,1.048742547015901,0.973736003588492,centralised
GC/2081,2,middle,0,y,mint_shrinkage,0.12817019529464496,1.045349159196742,0.9664466435462525,centralised
GC/2081,2,middle,0,y,mint_var,0.12847315161871026,1.0478200545395084,0.9726036929240752,centralised
GC/2081,2,middle,0,y,mint_ols,0.12938995126279032,1.0552974226974314,0.9698583876710227,centralised
GC/2081,2,middle,0,y,wls_structure,0.12830959843324422,1.0464861236321095,0.9705669779809845,centralised
GC/2081,2,middle,0,y,naive,0.13913869863013698,1.1348076773260523,1.1270852274771004,centralised
GC/2082,2,middle,0,y,base,0.3181950258425578,1.5207075940574357,1.3008626396430185,centralised
GC/2082,2,middle,0,y,bu,0.3199846720164002,1.5292606143946692,1.2935889709549138,centralised
GC/2082,2,middle,0,y,mint_shrinkage,0.31769680364124003,1.518326506285665,1.273081605426538,centralised
GC/2082,2,middle,0,y,mint_var,0.316179417930017,1.5110746645321336,1.2775436428951028,centralised
GC/2082,2,middle,0,y,mint_ols,0.3186904719715957,1.5230754145124517,1.2765526307221537,centralised
GC/2082,2,middle,0,y,wls_structure,0.3162170505688912,1.5112545172484635,1.276862658084339,centralised
GC/2082,2,middle,0,y,naive,0.3178667237442922,1.5191385830628248,1.3801993778075459,centralised
GC/2084,2,middle,0,y,base,0.12563125835696504,1.0141238138861293,1.038560074112376,centralised
GC/2084,2,middle,0,y,bu,0.12563125835696504,1.0141238138861293,1.038560074112376,centralised
GC/2084,2,middle,0,y,mint_shrinkage,0.12663566369532264,1.0222316000035667,1.0304107893761048,centralised
GC/2084,2,middle,0,y,mint_var,0.12561743100191203,1.0140121963617512,1.03727432721504,centralised
GC/2084,2,middle,0,y,mint_ols,0.1282782860542179,1.0354912176589457,1.0314983109570917,centralised
GC/2084,2,middle,0,y,wls_structure,0.12565125847332148,1.0142852593300644,1.0350951512791546,centralised
GC/2084,2,middle,0,y,naive,0.13062500000000002,1.054434421189028,1.1044042821272428,centralised
GC/2085,2,middle,0,y,base,0.15918612813593455,1.0526355753682564,1.0059738698875778,centralised
GC/2085,2,middle,0,y,bu,0.158922800682846,1.0508942939617796,1.0103350642802145,centralised
GC/2085,2,middle,0,y,mint_shrinkage,0.15915790089118595,1.052448919644137,0.9965546010352946,centralised
GC/2085,2,middle,0,y,mint_var,0.15799496941958951,1.044758908880935,0.999946285833858,centralised
