node_id,unique_id,level,role,method,MAE,MASE,RMSSE
30,GC/2093,2,middle,base,0.4717612034977968,1.1610583757337523,1.0775674705811522
30,GC/2093,2,middle,naive,0.5217691215444881,1.2841335919037677,1.2432476811961704
30,GC/2093,2,middle,bu,0.4713007801445015,1.1599252211064464,1.0992444472796734
30,GC/2093,2,middle,mint_cov,0.4617783351935275,1.136489393009905,1.0586456143934555
30,GC/2093,2,middle,mint_shrinkage,0.46312508453198686,1.139803897441042,1.057938773760376
30,GC/2093,2,middle,mint_ols,0.47332044455612865,1.164895846634584,1.0776930873623063
30,GC/2093,2,middle,mint_var,0.46882435465674666,1.1538304542347324,1.0825298235844103
30,GC/2093,2,middle,wls_structure,0.47332044455793254,1.1648958466390236,1.0776930873652388
31,GC/2096,2,middle,base,0.27648581353359447,1.3413347835714746,1.1942051991598492
31,GC/2096,2,middle,naive,0.28287928085022024,1.3723518545373075,1.3103767513331197
31,GC/2096,2,middle,bu,0.27557308687906196,1.3369068095138887,1.1886084224556945
31,GC/2096,2,middle,mint_cov,0.2738798584552702,1.328692333145871,1.1795805333665275
31,GC/2096,2,middle,mint_shrinkage,0.2729004010549777,1.3239406235979267,1.1788305480702694
31,GC/2096,2,middle,mint_ols,0.27542443245381615,1.3361856320011416,1.185498096233452
31,GC/2096,2,middle,mint_var,0.27516905151611143,1.3349466847639344,1.1877031144430878
31,GC/2096,2,middle,wls_structure,0.2754244324529396,1.3361856319968892,1.1854980962484003
32,GC/2099,2,middle,base,0.23375402236078943,1.0392334914581087,0.8781962571870446
32,GC/2099,2,middle,naive,0.23843378929176381,1.0600389966544228,0.9783555169407447
32,GC/2099,2,middle,bu,0.2310295762958365,1.027121034235874,0.8779839844977225
32,GC/2099,2,middle,mint_cov,0.2340887436692904,1.0407216095687009,0.8771175525211939
32,GC/2099,2,middle,mint_shrinkage,0.2333326139746484,1.0373599762816164,0.8746845700253942
32,GC/2099,2,middle,mint_ols,0.23506760721227227,1.045073482392793,0.8767679439598502
32,GC/2099,2,middle,mint_var,0.2321866415333565,1.0322651636694065,0.8764159361129359
32,GC/2099,2,middle,wls_structure,0.2350676072210557,1.0450734824318428,0.876767943954585
33,GC/2100,2,middle,base,0.49072807026600823,1.139449214212203,1.068594762940477
33,GC/2100,2,middle,naive,0.5542768267378603,1.2870066600024201,1.2464621763757384
33,GC/2100,2,middle,bu,0.49096899025743473,1.140008619943304,1.0769637822550495
33,GC/2100,2,middle,mint_cov,0.49205059705511023,1.1425200638373323,1.055291981253672
33,GC/2100,2,middle,mint_shrinkage,0.49068656363397206,1.139352837619699,1.0523788303981307
33,GC/2100,2,middle,mint_ols,0.4900341390460464,1.1378379361313014,1.063936956801026
33,GC/2100,2,middle,mint_var,0.48855246882389936,1.134397562383307,1.0679116705408664
33,GC/2100,2,middle,wls_structure,0.4900341390534982,1.137837936148604,1.0639369567922201
34,GC/2111,2,middle,base,0.18875643409456316,1.5382261125554095,1.3080376446890747
34,GC/2111,2,middle,naive,0.16577597021669757,1.350952233468141,1.3634722346673933
34,GC/2111,2,middle,bu,0.18875643409456316,1.5382261125554095,1.3080376446890747
34,GC/2111,2,middle,mint_cov,0.19329542853003523,1.5752155788953437,1.3157875017124088
34,GC/2111,2,middle,mint_shrinkage,0.1917372430441356,1.562517513189065,1.3080241590926929
34,GC/2111,2,middle,mint_ols,0.19007763625808138,1.5489929384791832,1.3070366179914994
34,GC/2111,2,middle,mint_var,0.18878955445594311,1.5384960191415151,1.307840755588969
34,GC/2111,2,middle,wls_structure,0.1900776362665751,1.5489929385484007,1.307036617986866
35,GC/2119,2,middle,base,0.15620696443561613,1.5145469034599142,1.1742728019057511
35,GC/2119,2,middle,naive,0.14594891562908893,1.4150872147603746,1.3039710717094206
35,GC/2119,2,middle,bu,0.15620696443561613,1.5145469034599142,1.1742728019057511
35,GC/2119,2,middle,mint_cov,0.15796832727100707,1.5316246735699033,1.1796936579340833
35,GC/2119,2,middle,mint_shrinkage,0.1564206950058329,1.516619186052858,1.1732491785043562
35,GC/2119,2,middle,mint_ols,0.15837212648141522,1.5355398181087712,1.1742761318127017
35,GC/2119,2,middle,mint_var,0.15624837485565848,1.5149484093957903,1.1741302607365491
35,GC/2119,2,middle,wls_structure,0.158372126479397,1.535539818089203,1.1742761318282038
36,GC/2120,2,middle,base,0.25643757451598814,1.1157462095586703,0.9716874204466929
36,GC/2120,2,middle,naive,0.2540077058256054,1.1051739804844525,1.068319679370719
36,GC/2120,2,middle,bu,0.2592955488627712,1.1281811035107665,0.9805802467640101
36,GC/2120,2,middle,mint_cov,0.25994101771001804,1.1309895040388998,0.9674232149874401
36,GC/2120,2,middle,mint_shrinkage,0.2568314208547111,1.1174598139725638,0.9616717718373265
36,GC/2120,2,middle,mint_ols,0.2581193090416049,1.123063346783909,0.9701069602670809
36,GC/2120,2,middle,mint_var,0.25715035754409343,1.1188474904975003,0.9733479228558523
36,GC/2120,2,middle,wls_structure,0.2581193090352322,1.1230633467561817,0.9701069602721778
37,GC/2126,2,middle,base,0.541704042514847,1.0686095987238051,0.9962264656419486
37,GC/2126,2,middle,naive,0.5836952054951593,1.151444793406901,1.1149109053996726
37,GC/2126,2,middle,bu,0.5524589305451044,1.0898255684791311,1.0118989740917785
37,GC/2126,2,middle,mint_cov,0.5428945194111564,1.0709580305954767,0.9882047247306451
37,GC/2126,2,middle,mint_shrinkage,0.5423616191342868,1.0699067880232749,0.9867458800266744
37,GC/2126,2,middle,mint_ols,0.5412409605488916,1.0676960854490685,0.9942597921452092
37,GC/2126,2,middle,mint_var,0.5436251873982825,1.07239940589129,0.998404081831837
37,GC/2126,2,middle,wls_structure,0.5412409605576288,1.0676960854663042,0.9942597921416708
38,GC/2134,2,middle,base,0.13747928937972556,1.0439400591194055,0.9650701526932597
38,GC/2134,2,middle,naive,0.15298858449995417,1.1617088847931543,1.0961387343133708
38,GC/2134,2,middle,bu,0.13760627219082938,1.0449042948521399,0.9750591189306391
38,GC/2134,2,middle,mint_cov,0.14326323217722028,1.0878600532741787,0.9775936099252593
38,GC/2134,2,middle,mint_shrinkage,0.14068019370918572,1.068245918351065,0.9631233135675614
38,GC/2134,2,middle,mint_ols,0.1400208402014662,1.0632391602936526,0.9658871003406792
